Tract,Flow,Lat,Lon
T0,148,47.727466,-122.291331
T1,87,47.726673,-122.308734
T2,18,47.730744,-122.335787
T3,64,47.728213,-122.352721
T4,103,47.717678,-122.354194
T5,22,47.720704,-122.366775
T6,277,47.717065,-122.327832
T7,61,47.716134,-122.300443
T8,11,47.711602,-122.286037
T9,1,47.709381,-122.277940
T10,87,47.706435,-122.296711
T11,10,47.706579,-122.306423
T12,441,47.707498,-122.323153
T13,111,47.702743,-122.342615
T14,46,47.705858,-122.362327
T15,1,47.695719,-122.393822
T16,78,47.697634,-122.380292
T17,157,47.696627,-122.359175
T18,45,47.694097,-122.342534
T19,292,47.695513,-122.323998
T20,71,47.695681,-122.311329
T21,55,47.694821,-122.298121
T22,38,47.694885,-122.281391
T23,39,47.686148,-122.287963
T24,43,47.682968,-122.302739
T25,92,47.682682,-122.311348
T26,82,47.686776,-122.330650
T27,49,47.684794,-122.349713
T28,62,47.684992,-122.360637
T29,102,47.684907,-122.373814
T30,32,47.684716,-122.390890
T31,166,47.673431,-122.395863
T32,83,47.675633,-122.377023
T33,23,47.674315,-122.361371
T34,106,47.673769,-122.353228
T35,192,47.677209,-122.324622
T36,20,47.678812,-122.295546
T37,34,47.679231,-122.282823
T38,111,47.679508,-122.267008
T39,405,47.663257,-122.273558
T40,157,47.670162,-122.284813
T41,773,47.667279,-122.302291
T42,123,47.668868,-122.312018
T43,38,47.668371,-122.323187
T44,51,47.668580,-122.334291
T45,681,47.669097,-122.376576
T46,121,47.661279,-122.359869
T47,376,47.658082,-122.351310
T48,160,47.660694,-122.342465
T49,92,47.658220,-122.332125
T50,233,47.659629,-122.321867
T51,548,47.661620,-122.311168
T52,1507,47.657659,-122.307672
T53,250,47.652156,-122.340020
T54,91,47.643323,-122.405108
T55,127,47.653985,-122.399742
T56,193,47.653269,-122.388080
T57,264,47.640497,-122.382497
T58,194,47.647372,-122.367765
T59,219,47.643410,-122.351968
T60,217,47.644485,-122.322206
T61,95,47.638801,-122.304392
T62,67,47.635231,-122.282652
T63,70,47.628706,-122.305264
T64,87,47.629243,-122.319571
T65,503,47.634998,-122.325764
T66,688,47.632326,-122.346033
T67,170,47.636139,-122.356331
T68,44,47.634514,-122.367032
T69,150,47.627864,-122.357485
T70,815,47.622892,-122.359239
T71,1317,47.616695,-122.344875
T72,1244,47.619428,-122.332753
T73,178,47.620812,-122.324850
T74,327,47.620249,-122.316163
T75,140,47.621897,-122.307609
T76,75,47.619186,-122.297769
T77,105,47.612859,-122.288016
T78,108,47.614648,-122.308494
T79,759,47.615634,-122.349426
T80,466,47.612271,-122.344216
T81,5245,47.606620,-122.337405
T82,1884,47.610067,-122.329528
T83,408,47.611671,-122.326899
T84,594,47.614051,-122.324944
T85,1073,47.604366,-122.326128
T86,323,47.606687,-122.317223
T87,244,47.605719,-122.307424
T88,41,47.607321,-122.297209
T89,87,47.596588,-122.294969
T90,224,47.599015,-122.307994
T91,261,47.598602,-122.323248
T92,392,47.600239,-122.329293
T93,2207,47.582761,-122.323247
T94,174,47.587015,-122.311447
T95,179,47.581449,-122.292422
T96,120,47.586207,-122.388979
T97,47,47.573599,-122.408867
T98,38,47.571870,-122.395527
T99,226,47.571844,-122.382963
T100,265,47.566734,-122.368564
T101,295,47.572267,-122.307988
T102,117,47.566140,-122.285044
T103,22,47.552304,-122.269128
T104,159,47.553790,-122.282624
T105,53,47.553752,-122.302714
T106,249,47.557357,-122.385178
T107,111,47.547132,-122.387843
T108,43,47.544344,-122.368668
T109,89,47.546110,-122.356282
T110,971,47.545576,-122.321401
T111,57,47.540110,-122.292134
T112,17,47.539668,-122.276976
T113,46,47.539076,-122.269187
T114,181,47.526118,-122.322104
T115,63,47.525822,-122.348230
T116,105,47.525230,-122.362027
T117,28,47.530197,-122.375714
T118,43,47.529865,-122.386954
T119,88,47.523278,-122.282106
T120,96,47.523098,-122.267469
T121,29,47.505415,-122.257943
T122,33,47.512891,-122.380237
T123,0,47.506478,-122.382227
