Tract,Flow,Lat,Lon
T0,916,47.727466,-122.291331
T1,527,47.726673,-122.308734
T2,157,47.730744,-122.335787
T3,562,47.728213,-122.352721
T4,640,47.717678,-122.354194
T5,180,47.720704,-122.366775
T6,1966,47.717065,-122.327832
T7,494,47.716134,-122.300443
T8,128,47.711602,-122.286037
T9,19,47.709381,-122.277940
T10,523,47.706435,-122.296711
T11,91,47.706579,-122.306423
T12,2792,47.707498,-122.323153
T13,837,47.702743,-122.342615
T14,325,47.705858,-122.362327
T15,13,47.695719,-122.393822
T16,444,47.697634,-122.380292
T17,1173,47.696627,-122.359175
T18,310,47.694097,-122.342534
T19,1904,47.695513,-122.323998
T20,289,47.695681,-122.311329
T21,410,47.694821,-122.298121
T22,226,47.694885,-122.281391
T23,253,47.686148,-122.287963
T24,245,47.682968,-122.302739
T25,595,47.682682,-122.311348
T26,737,47.686776,-122.330650
T27,368,47.684794,-122.349713
T28,431,47.684992,-122.360637
T29,564,47.684907,-122.373814
T30,274,47.684716,-122.390890
T31,1237,47.673431,-122.395863
T32,410,47.675633,-122.377023
T33,202,47.674315,-122.361371
T34,679,47.673769,-122.353228
T35,1184,47.677209,-122.324622
T36,224,47.678812,-122.295546
T37,260,47.679231,-122.282823
T38,736,47.679508,-122.267008
T39,2622,47.663257,-122.273558
T40,1070,47.670162,-122.284813
T41,5594,47.667279,-122.302291
T42,678,47.668868,-122.312018
T43,230,47.668371,-122.323187
T44,355,47.668580,-122.334291
T45,4455,47.669097,-122.376576
T46,902,47.661279,-122.359869
T47,2569,47.658082,-122.351310
T48,1271,47.660694,-122.342465
T49,592,47.658220,-122.332125
T50,1541,47.659629,-122.321867
T51,3784,47.661620,-122.311168
T52,10885,47.657659,-122.307672
T53,1760,47.652156,-122.340020
T54,566,47.643323,-122.405108
T55,882,47.653985,-122.399742
T56,1428,47.653269,-122.388080
T57,1689,47.640497,-122.382497
T58,1404,47.647372,-122.367765
T59,1600,47.643410,-122.351968
T60,1438,47.644485,-122.322206
T61,580,47.638801,-122.304392
T62,760,47.635231,-122.282652
T63,474,47.628706,-122.305264
T64,674,47.629243,-122.319571
T65,3087,47.634998,-122.325764
T66,5069,47.632326,-122.346033
T67,1044,47.636139,-122.356331
T68,253,47.634514,-122.367032
T69,1159,47.627864,-122.357485
T70,5482,47.622892,-122.359239
T71,9195,47.616695,-122.344875
T72,8518,47.619428,-122.332753
T73,1140,47.620812,-122.324850
T74,2068,47.620249,-122.316163
T75,1032,47.621897,-122.307609
T76,479,47.619186,-122.297769
T77,881,47.612859,-122.288016
T78,706,47.614648,-122.308494
T79,5006,47.615634,-122.349426
T80,3023,47.612271,-122.344216
T81,36111,47.606620,-122.337405
T82,13514,47.610067,-122.329528
T83,3137,47.611671,-122.326899
T84,3820,47.614051,-122.324944
T85,7904,47.604366,-122.326128
T86,2675,47.606687,-122.317223
T87,1767,47.605719,-122.307424
T88,301,47.607321,-122.297209
T89,665,47.596588,-122.294969
T90,1623,47.599015,-122.307994
T91,1703,47.598602,-122.323248
T92,2544,47.600239,-122.329293
T93,15605,47.582761,-122.323247
T94,1140,47.587015,-122.311447
T95,1062,47.581449,-122.292422
T96,887,47.586207,-122.388979
T97,353,47.573599,-122.408867
T98,363,47.571870,-122.395527
T99,1285,47.571844,-122.382963
T100,1752,47.566734,-122.368564
T101,2072,47.572267,-122.307988
T102,823,47.566140,-122.285044
T103,207,47.552304,-122.269128
T104,1003,47.553790,-122.282624
T105,380,47.553752,-122.302714
T106,1821,47.557357,-122.385178
T107,757,47.547132,-122.387843
T108,375,47.544344,-122.368668
T109,724,47.546110,-122.356282
T110,6944,47.545576,-122.321401
T111,394,47.540110,-122.292134
T112,118,47.539668,-122.276976
T113,439,47.539076,-122.269187
T114,1227,47.526118,-122.322104
T115,457,47.525822,-122.348230
T116,736,47.525230,-122.362027
T117,162,47.530197,-122.375714
T118,416,47.529865,-122.386954
T119,624,47.523278,-122.282106
T120,746,47.523098,-122.267469
T121,198,47.505415,-122.257943
T122,251,47.512891,-122.380237
T123,0,47.506478,-122.382227
